Anos,Datas,Nomes
2016,2016-01-01,Reveillon
2016,2016-03-08,Dia da Mulher
2016,2016-03-26,Pascoa
2016,2016-05-08,Dia das Maes
2016,2016-06-12,Dia dos Namorados
2016,2016-08-14,Dia dos Pais
2016,2016-10-12,Dia das Criancas
2016,2016-11-25,Black Friday
2016,2016-12-25,Natal
2017,2017-01-01,Reveillon
2017,2017-03-08,Dia da Mulher
2017,2017-04-16,Pascoa
2017,2017-05-14,Dia das Maes
2017,2017-06-12,Dia dos Namorados
2017,2017-08-13,Dia dos Pais
2017,2017-10-12,Dia das Criancas
2017,2017-11-24,Black Friday
2017,2017-12-25,Natal
2018,2018-01-01,Reveillon
2018,2018-03-08,Dia da Mulher
2018,2018-04-01,Pascoa
2018,2018-05-13,Dia das Maes
2018,2018-06-12,Dia dos Namorados
2018,2018-08-12,Dia dos Pais
2018,2018-10-12,Dia das Criancas
2018,2018-11-23,Black Friday
2018,2018-12-25,Natal